Hotel Name,Price (SAR),Rating,Reviews,Address,Check-in,Check-out,Search Area,Religious_Context,Latitude,Longitude,Stay_Duration,City_Madinah,City_Makkah,City_Taif,Season_Type_Hajj Peak,Season_Type_Pre-Hajj,Season_Type_Ramadan Season,Season_Type_Regular Umrah,Price_Category_Budget,Price_Category_Mid-Range,Price_Category_Premium,Price_Category_Luxury
فندق أنجم مكة,-0.08224072129545623,1.0903433486825478,2.6626114987340697,"Lat: 21.4248063, Lng: 39.8197542",2026-03-10,2026-03-15,Hotels near Masjid al Haram,High spiritual tourism season during Ramadan,21.4248063,39.8197542,0.0,False,True,False,False,False,True,False,False,True,False,False
ماريوت جبل عمر,2.23406065434567,0.43115032207779774,0.6485915030195816,"Lat: 21.4232245, Lng: 39.819054099999995",2026-03-10,2026-03-15,Hotels near Masjid al Haram,High spiritual tourism season during Ramadan,21.4232245,39.8190541,0.0,False,True,False,False,False,True,False,False,False,False,True
فندق أجياد الجوار | Ajyad Aljiwar Hotel,-0.08224072129545623,-0.8872357311317024,-0.2936424582327452,"Lat: 21.4205571, Lng: 39.8302943",2026-03-10,2026-03-15,Hotels near Masjid al Haram,High spiritual tourism season during Ramadan,21.4205571,39.8302943,0.0,False,True,False,False,False,True,False,False,True,False,False
روابي زمزم,-0.08224072129545623,-0.8872357311317024,-0.278964646633834,"Lat: 21.419378899999998, Lng: 39.8288435",2026-03-10,2026-03-15,Hotels near Masjid al Haram,High spiritual tourism season during Ramadan,21.4193789,39.8288435,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق مرقد أجياد,0.7305020603011951,-1.1069667399999528,-0.3226922936889236,"Lat: 21.414354, Lng: 39.8281543",2026-03-10,2026-03-15,Hotels in Ajyad Makkah,High spiritual tourism season during Ramadan,21.414354,39.8281543,0.0,False,True,False,False,False,True,False,False,False,False,True
فندق أمجاد اجياد,-0.08224072129545623,-0.667504722263453,-0.24593957053628385,"Lat: 21.4159218, Lng: 39.8298359",2026-03-10,2026-03-15,Hotels in Ajyad Makkah,High spiritual tourism season during Ramadan,21.4159218,39.8298359,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق نور الثريا,-0.08224072129545623,0.43115032207779774,-0.26469455202378145,"Lat: 21.417244, Lng: 39.829748099999996",2026-03-10,2026-03-15,Hotels in Ajyad Makkah,High spiritual tourism season during Ramadan,21.417244,39.8297481,0.0,False,True,False,False,False,True,False,False,True,False,False
Rayanat Ajyad Hotel,-0.08224072129545623,0.8706123398142984,-0.35214984613396066,"Lat: 21.414977, Lng: 39.8302123",2026-03-10,2026-03-15,Hotels in Ajyad Makkah,High spiritual tourism season during Ramadan,21.414977,39.8302123,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق فجر النسك اجياد,-0.08224072129545623,-0.4477737133952027,-0.2376833015118963,"Lat: 21.4210752, Lng: 39.8323554",2026-03-10,2026-03-15,Hotels in Ajyad Makkah,High spiritual tourism season during Ramadan,21.4210752,39.8323554,0.0,False,True,False,False,False,True,False,False,True,False,False
الزيادي اجياد,-0.08224072129545623,-0.667504722263453,-0.32340579841942624,"Lat: 21.413645199999998, Lng: 39.8277059",2026-03-10,2026-03-15,Hotels in Ajyad Makkah,High spiritual tourism season during Ramadan,21.4136452,39.8277059,0.0,False,True,False,False,False,True,False,False,True,False,False
